tanggal,jam,uniqueId,diggCount,text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-04-28,06:28:15,sn2791ka,0,Good..,Good,good,good,['good'],['good'],good
2025-04-27,04:32:53,escargot02,0,Kang Deni the next Presiden🥰🥰🥰👍👍🙏🙏🙏,Kang Deni the next Presiden,kang deni the next presiden,kang deni the next presiden,"['kang', 'deni', 'the', 'next', 'presiden']","['kang', 'deni', 'the', 'next', 'presiden']",kang den the next presiden
2025-04-27,05:26:12,tony62785,8,kdm is the best,kdm is the best,kdm is the best,kdm is the best,"['kdm', 'is', 'the', 'best']","['kdm', 'is', 'the', 'best']",kdm is the best
2025-04-27,15:59:02,yu.minji5,3754,pasti kalinya berasa lega bgt😭,pasti kalinya berasa lega bgt,pasti kalinya berasa lega bgt,pasti kalinya berasa lega banget,"['pasti', 'kalinya', 'berasa', 'lega', 'banget']","['kalinya', 'berasa', 'lega', 'banget']",kali asa lega banget
2025-04-24,08:19:39,zoro15868,14543,"orang puluhan tahun ngumpul duit buat beli tanah,terus mereka seenaknya bngun rumah tanpa bayar,dan gak dikenakan denda,setelah digusur seakan akan paling terzolimi🤣🤣",orang puluhan tahun ngumpul duit buat beli tanahterus mereka seenaknya bngun rumah tanpa bayardan gak dikenakan dendasetelah digusur seakan akan paling terzolimi,orang puluhan tahun ngumpul duit buat beli tanahterus mereka seenaknya bngun rumah tanpa bayardan gak dikenakan dendasetelah digusur seakan akan paling terzolimi,orang puluhan tahun ngumpul duit buat beli tanahterus mereka seenaknya bangun rumah tanpa bayardan tidak dikenakan dendasetelah digusur seakan akan paling terzolimi,"['orang', 'puluhan', 'tahun', 'ngumpul', 'duit', 'buat', 'beli', 'tanahterus', 'mereka', 'seenaknya', 'bangun', 'rumah', 'tanpa', 'bayardan', 'tidak', 'dikenakan', 'dendasetelah', 'digusur', 'seakan', 'akan', 'paling', 'terzolimi']","['orang', 'puluhan', 'ngumpul', 'duit', 'beli', 'tanahterus', 'bangun', 'rumah', 'bayardan', 'dikenakan', 'dendasetelah', 'digusur', 'seakan', 'terzolimi']",orang puluh ngumpul duit beli tanahterus bangun rumah bayardan kena dendasetelah gusur akan terzolimi
2025-03-26,04:44:05,aden12927,5219,ini lah hasil kerja nyata bukan omon omon..,ini lah hasil kerja nyata bukan omon omon,ini lah hasil kerja nyata bukan omon omon,ini lah hasil kerja nyata bukan omon omon,"['ini', 'lah', 'hasil', 'kerja', 'nyata', 'bukan', 'omon', 'omon']","['hasil', 'kerja', 'nyata', 'omon', 'omon']",hasil kerja nyata omon omon
2025-04-29,06:02:09,cheelllyourfav,455,bayangin pejabat se-Indonesia kerjanya berfungsi kek gini semua,bayangin pejabat seIndonesia kerjanya berfungsi kek gini semua,bayangin pejabat seindonesia kerjanya berfungsi kek gini semua,bayangkan pejabat seindonesia kerjanya berfungsi kayak begini semua,"['bayangkan', 'pejabat', 'seindonesia', 'kerjanya', 'berfungsi', 'kayak', 'begini', 'semua']","['bayangkan', 'pejabat', 'seindonesia', 'kerjanya', 'berfungsi', 'kayak']",bayang jabat indonesia kerja fungsi kayak
2025-03-26,11:54:52,drakipr,14491,segampang itu ya klo pemimpinnya bener,segampang itu ya klo pemimpinnya bener,segampang itu ya klo pemimpinnya bener,segampang itu ya kalau pemimpinnya benar,"['segampang', 'itu', 'ya', 'kalau', 'pemimpinnya', 'benar']","['segampang', 'ya', 'pemimpinnya']",gampang ya pimpin
2025-04-26,08:58:53,hiburantiktok.3,1418,kalo banjir bilang pemerintahnya g becus. giliran ketemu yg becus kerjanya malah d bilang g bela rakyat. dr semua gubernur kyajnya KDM yg keliatan kerjanya.,kalo banjir bilang pemerintahnya g becus giliran ketemu yg becus kerjanya malah d bilang g bela rakyat dr semua gubernur kyajnya KDM yg keliatan kerjanya,kalo banjir bilang pemerintahnya g becus giliran ketemu yg becus kerjanya malah d bilang g bela rakyat dr semua gubernur kyajnya kdm yg keliatan kerjanya,kalau banjir bilang pemerintahnya tidak becus giliran ketemu yang becus kerjanya malah di bilang tidak bela rakyat dari semua gubernur kyajnya kdm yang kelihatan kerjanya,"['kalau', 'banjir', 'bilang', 'pemerintahnya', 'tidak', 'becus', 'giliran', 'ketemu', 'yang', 'becus', 'kerjanya', 'malah', 'di', 'bilang', 'tidak', 'bela', 'rakyat', 'dari', 'semua', 'gubernur', 'kyajnya', 'kdm', 'yang', 'kelihatan', 'kerjanya']","['banjir', 'bilang', 'pemerintahnya', 'becus', 'giliran', 'ketemu', 'becus', 'kerjanya', 'bilang', 'bela', 'rakyat', 'gubernur', 'kyajnya', 'kdm', 'kerjanya']",banjir bilang perintah becus gilir ketemu becus kerja bilang bela rakyat gubernur kyajnya kdm kerja
2025-04-27,12:34:14,nunahanuna,1453,"bukan gak empati tapi orang laen mati2an kerja cari duit buat ngontrak buat nabung beli rumah, yang ini bangun seenaknya",bukan gak empati tapi orang laen matian kerja cari duit buat ngontrak buat nabung beli rumah yang ini bangun seenaknya,bukan gak empati tapi orang laen matian kerja cari duit buat ngontrak buat nabung beli rumah yang ini bangun seenaknya,bukan tidak empati tapi orang lain matian kerja cari duit buat ngontrak buat nabung beli rumah yang ini bangun seenaknya,"['bukan', 'tidak', 'empati', 'tapi', 'orang', 'lain', 'matian', 'kerja', 'cari', 'duit', 'buat', 'ngontrak', 'buat', 'nabung', 'beli', 'rumah', 'yang', 'ini', 'bangun', 'seenaknya']","['empati', 'orang', 'matian', 'kerja', 'cari', 'duit', 'ngontrak', 'nabung', 'beli', 'rumah', 'bangun']",empati orang mati kerja cari duit ngontrak nabung beli rumah bangun
2025-04-25,03:11:34,san.death4,13,terlihat sadis tapi jika flashback 'itu bangunan liar',terlihat sadis tapi jika flashback itu bangunan liar,terlihat sadis tapi jika flashback itu bangunan liar,terlihat sadis tapi jika flashback itu bangunan liar,"['terlihat', 'sadis', 'tapi', 'jika', 'flashback', 'itu', 'bangunan', 'liar']","['sadis', 'flashback', 'bangunan', 'liar']",sadis flashback bangun liar
2025-04-24,09:20:07,sleepcalll__,3663,"bermula jualan asongan, jual pinggir jalan, buat stand kecil, buat kios kecil, buat kios agak gede , buat warung semi permanen, buat rumah😂🤣",bermula jualan asongan jual pinggir jalan buat stand kecil buat kios kecil buat kios agak gede  buat warung semi permanen buat rumah,bermula jualan asongan jual pinggir jalan buat stand kecil buat kios kecil buat kios agak gede  buat warung semi permanen buat rumah,bermula jualan asongan jual pinggir jalan buat stand kecil buat kios kecil buat kios agak gede buat warung semi permanen buat rumah,"['bermula', 'jualan', 'asongan', 'jual', 'pinggir', 'jalan', 'buat', 'stand', 'kecil', 'buat', 'kios', 'kecil', 'buat', 'kios', 'agak', 'gede', 'buat', 'warung', 'semi', 'permanen', 'buat', 'rumah']","['jualan', 'asongan', 'jual', 'pinggir', 'jalan', 'stand', 'kios', 'kios', 'gede', 'warung', 'semi', 'permanen', 'rumah']",jual asong jual pinggir jalan stand kios kios gede warung semi permanen rumah
2025-03-26,06:08:15,srisuwartimulyo,580,manyala KDM . janji ya jadi RI 1 2029.💕💕,manyala KDM  janji ya jadi RI  ,manyala kdm  janji ya jadi ri  ,manyala kdm janji ya jadi ri,"['manyala', 'kdm', 'janji', 'ya', 'jadi', 'ri']","['manyala', 'kdm', 'janji', 'ya', 'ri']",manyala kdm janji ya ri
2025-04-20,10:33:28,bungaprimadona6,7,"kasian yg terdampak banjir malah ribuan orang, gara2 bangunan liar yg tidak betul",kasian yg terdampak banjir malah ribuan orang gara bangunan liar yg tidak betul,kasian yg terdampak banjir malah ribuan orang gara bangunan liar yg tidak betul,kasihan yang terdampak banjir malah ribuan orang gara bangunan liar yang tidak betul,"['kasihan', 'yang', 'terdampak', 'banjir', 'malah', 'ribuan', 'orang', 'gara', 'bangunan', 'liar', 'yang', 'tidak', 'betul']","['kasihan', 'terdampak', 'banjir', 'ribuan', 'orang', 'gara', 'bangunan', 'liar']",kasihan dampak banjir ribu orang gara bangun liar
2025-04-27,04:25:36,rafoyt,332,bangun rmh disitu eh buang sampahnya di sungai🤪,bangun rmh disitu eh buang sampahnya di sungai,bangun rmh disitu eh buang sampahnya di sungai,bangun rumah disitu eh buang sampahnya di sungai,"['bangun', 'rumah', 'disitu', 'eh', 'buang', 'sampahnya', 'di', 'sungai']","['bangun', 'rumah', 'disitu', 'eh', 'buang', 'sampahnya', 'sungai']",bangun rumah situ eh buang sampah sungai
2025-04-27,09:49:02,_rohidah_,10,"Kami butuh pemimpin seperti kang Dedi ,semoga kelak kang Dedi menjadi presiden Indonesia tercinta Aamiin Allahumma Aamiin 🤲🏻🤲🏻",Kami butuh pemimpin seperti kang Dedi semoga kelak kang Dedi menjadi presiden Indonesia tercinta Aamiin Allahumma Aamiin ,kami butuh pemimpin seperti kang dedi semoga kelak kang dedi menjadi presiden indonesia tercinta aamiin allahumma aamiin ,kami butuh pemimpin seperti kang dedi semoga kelak kang dedi menjadi presiden indonesia tercinta amin allahumma amin,"['kami', 'butuh', 'pemimpin', 'seperti', 'kang', 'dedi', 'semoga', 'kelak', 'kang', 'dedi', 'menjadi', 'presiden', 'indonesia', 'tercinta', 'amin', 'allahumma', 'amin']","['butuh', 'pemimpin', 'kang', 'dedi', 'semoga', 'kelak', 'kang', 'dedi', 'presiden', 'indonesia', 'tercinta', 'amin', 'allahumma', 'amin']",butuh pimpin kang dedi moga kelak kang dedi presiden indonesia cinta amin allahumma amin
2025-04-05,07:43:54,indragunawan90308,25,kerja nyata tanpa omon omon bapa aing KDM joss,kerja nyata tanpa omon omon bapa aing KDM joss,kerja nyata tanpa omon omon bapa aing kdm joss,kerja nyata tanpa omon omon bapa aing kdm joss,"['kerja', 'nyata', 'tanpa', 'omon', 'omon', 'bapa', 'aing', 'kdm', 'joss']","['kerja', 'nyata', 'omon', 'omon', 'bapa', 'aing', 'kdm', 'joss']",kerja nyata omon omon bapa aing kdm joss
2025-04-19,10:07:51,uciieviani,6,calon presiden selanjutnya kdm,calon presiden selanjutnya kdm,calon presiden selanjutnya kdm,calon presiden selanjutnya kdm,"['calon', 'presiden', 'selanjutnya', 'kdm']","['calon', 'presiden', 'kdm']",calon presiden kdm
2025-04-21,08:37:12,irmawati.toyib,2470,"Ridwan Kamil ngapain aje ,masa jabatan abis GK ada sepak terjangnya ,gubernur gue Dedy Mulyadi langsung bikin gebrakan.",Ridwan Kamil ngapain aje masa jabatan abis GK ada sepak terjangnya gubernur gue Dedy Mulyadi langsung bikin gebrakan,ridwan kamil ngapain aje masa jabatan abis gk ada sepak terjangnya gubernur gue dedy mulyadi langsung bikin gebrakan,ridwan kamil mengapai saja masa jabatan habis tidak ada sepak terjangnya gubernur gue dedy mulyadi langsung bikin gebrakan,"['ridwan', 'kamil', 'mengapai', 'saja', 'masa', 'jabatan', 'habis', 'tidak', 'ada', 'sepak', 'terjangnya', 'gubernur', 'gue', 'dedy', 'mulyadi', 'langsung', 'bikin', 'gebrakan']","['ridwan', 'kamil', 'mengapai', 'jabatan', 'habis', 'sepak', 'terjangnya', 'gubernur', 'gue', 'dedy', 'mulyadi', 'langsung', 'bikin', 'gebrakan']",ridwan kamil kapai jabat habis sepak terjang gubernur gue dedy mulyadi langsung bikin gebrak
2025-03-26,12:12:39,ken_owie,333,bisa tukar tambah gak sama gub DKI..,bisa tukar tambah gak sama gub DKI,bisa tukar tambah gak sama gub dki,bisa tukar tambah tidak sama gub dki,"['bisa', 'tukar', 'tambah', 'tidak', 'sama', 'gub', 'dki']","['tukar', 'gub', 'dki']",tukar gub dki
2025-04-23,08:26:33,rio_kurniawan94,15,Alhamdulillah JAWA BARAT akhirnya punya Gurbernur . setelah beberapa tahun silam tidak punya Gurbernur,Alhamdulillah JAWA BARAT akhirnya punya Gurbernur  setelah beberapa tahun silam tidak punya Gurbernur,alhamdulillah jawa barat akhirnya punya gurbernur  setelah beberapa tahun silam tidak punya gurbernur,alhamdulillah jawa barat akhirnya punya gurbernur setelah beberapa tahun silam tidak punya gurbernur,"['alhamdulillah', 'jawa', 'barat', 'akhirnya', 'punya', 'gurbernur', 'setelah', 'beberapa', 'tahun', 'silam', 'tidak', 'punya', 'gurbernur']","['alhamdulillah', 'jawa', 'barat', 'gurbernur', 'silam', 'gurbernur']",alhamdulillah jawa barat gurbernur silam gurbernur
2025-04-24,21:39:24,mirosic29,6,"gmn ga banjir
itu isinya sampah semua jir","gmn ga banjir
itu isinya sampah semua jir","gmn ga banjir
itu isinya sampah semua jir",bagaimana tidak banjir itu isinya sampah semua jir,"['bagaimana', 'tidak', 'banjir', 'itu', 'isinya', 'sampah', 'semua', 'jir']","['banjir', 'isinya', 'sampah', 'jir']",banjir isi sampah jir
2025-04-21,03:25:30,yulianaritzhal,7,kalau banyak pemimpin kaya pak dedi pasti indonesia banyak kemajuaaan,kalau banyak pemimpin kaya pak dedi pasti indonesia banyak kemajuaaan,kalau banyak pemimpin kaya pak dedi pasti indonesia banyak kemajuaaan,kalau banyak pemimpin kayak pak dedi pasti indonesia banyak kemajuaaan,"['kalau', 'banyak', 'pemimpin', 'kayak', 'pak', 'dedi', 'pasti', 'indonesia', 'banyak', 'kemajuaaan']","['pemimpin', 'kayak', 'dedi', 'indonesia', 'kemajuaaan']",pimpin kayak dedi indonesia kemajuaaan
2025-03-26,08:59:58,harry.shaqirry,52,"ini baru gubernur JABAR, klw yg kemaren itu gubernur bandung, lom pernah lht dy RK, meninjau bekasi waktu dy jadi gubernur JABAR, sehat slalu KDM.",ini baru gubernur JABAR klw yg kemaren itu gubernur bandung lom pernah lht dy RK meninjau bekasi waktu dy jadi gubernur JABAR sehat slalu KDM,ini baru gubernur jabar klw yg kemaren itu gubernur bandung lom pernah lht dy rk meninjau bekasi waktu dy jadi gubernur jabar sehat slalu kdm,ini baru gubernur jabar kalau yang kemarin itu gubernur bandung lom pernah lihat dia rk meninjau bekasi waktu dia jadi gubernur jabar sehat selalu kdm,"['ini', 'baru', 'gubernur', 'jabar', 'kalau', 'yang', 'kemarin', 'itu', 'gubernur', 'bandung', 'lom', 'pernah', 'lihat', 'dia', 'rk', 'meninjau', 'bekasi', 'waktu', 'dia', 'jadi', 'gubernur', 'jabar', 'sehat', 'selalu', 'kdm']","['gubernur', 'jabar', 'kemarin', 'gubernur', 'bandung', 'lom', 'lihat', 'rk', 'meninjau', 'bekasi', 'gubernur', 'jabar', 'sehat', 'kdm']",gubernur jabar kemarin gubernur bandung lom lihat rk tinjau bekas gubernur jabar sehat kdm
2025-03-26,08:17:15,adrilyanuar,191,Moga2 banyak ikan nanti nya,Moga banyak ikan nanti nya,moga banyak ikan nanti nya,moga banyak ikan nanti ya,"['moga', 'banyak', 'ikan', 'nanti', 'ya']","['moga', 'ikan', 'ya']",moga ikan ya
2025-04-27,07:27:46,yanatahir507,19,ko bisa mereka bangun di dekat sungai🤔,ko bisa mereka bangun di dekat sungai,ko bisa mereka bangun di dekat sungai,kok bisa mereka bangun di dekat sungai,"['kok', 'bisa', 'mereka', 'bangun', 'di', 'dekat', 'sungai']","['bangun', 'sungai']",bangun sungai
2025-04-21,02:06:21,imah60368,6,"semoga panjang umur pk gubernur Jawa Barat,bp aing",semoga panjang umur pk gubernur Jawa Baratbp aing,semoga panjang umur pk gubernur jawa baratbp aing,semoga panjang umur pakai gubernur jawa baratbp aing,"['semoga', 'panjang', 'umur', 'pakai', 'gubernur', 'jawa', 'baratbp', 'aing']","['semoga', 'umur', 'pakai', 'gubernur', 'jawa', 'baratbp', 'aing']",moga umur pakai gubernur jawa baratbp aing
2025-04-27,06:14:15,vanzkuy_098,5,"malah ke inget
Indonesia, Malaysia, Bekasi Eyeyyyyyyyyy","malah ke inget
Indonesia Malaysia Bekasi Eyeyyyyyyyyy","malah ke inget
indonesia malaysia bekasi eyeyyyyyyyyy",malah ke ingat indonesia malaysia bekasi eyeyyyyyyyyy,"['malah', 'ke', 'ingat', 'indonesia', 'malaysia', 'bekasi', 'eyeyyyyyyyyy']","['indonesia', 'malaysia', 'bekasi', 'eyeyyyyyyyyy']",indonesia malaysia bekas eyeyyyyyyyyy
2025-03-25,22:52:28,user5497879028572,28,hebat lah gebrakan KDM...,hebat lah gebrakan KDM,hebat lah gebrakan kdm,hebat lah gebrakan kdm,"['hebat', 'lah', 'gebrakan', 'kdm']","['hebat', 'gebrakan', 'kdm']",hebat gebrak kdm
2025-03-27,03:55:32,ibunna2,987,"anis mulu
dulu anis jadi gubernir dki apa hasil nya","anis mulu
dulu anis jadi gubernir dki apa hasil nya","anis mulu
dulu anis jadi gubernir dki apa hasil nya",anis mulu dulu anis jadi gubernir dki apa hasil ya,"['anis', 'mulu', 'dulu', 'anis', 'jadi', 'gubernir', 'dki', 'apa', 'hasil', 'ya']","['anis', 'mulu', 'anis', 'gubernir', 'dki', 'hasil', 'ya']",anis mulu anis gubernir dki hasil ya
2025-05-15,11:02:56,.istri_host,0,s7,s,s,si,['si'],['si'],si
2025-05-15,12:19:54,elen.purnawanti3,0,Yes True I Agree 👍,Yes True I Agree ,yes true i agree ,yes true i agree,"['yes', 'true', 'i', 'agree']","['yes', 'true', 'i', 'agree']",yes true i agree
2025-05-16,05:46:29,erma2107,0,S7,S,s,si,['si'],['si'],si
2025-05-03,00:41:06,rinzzz123_,3890,"KDM : KANG DEDI MULYADI ❌
KDM : KING DEDI MULYADI ✅👑","KDM  KANG DEDI MULYADI 
KDM  KING DEDI MULYADI ","kdm  kang dedi mulyadi 
kdm  king dedi mulyadi ",kdm kang dedi mulyadi kdm king dedi mulyadi,"['kdm', 'kang', 'dedi', 'mulyadi', 'kdm', 'king', 'dedi', 'mulyadi']","['kdm', 'kang', 'dedi', 'mulyadi', 'kdm', 'king', 'dedi', 'mulyadi']",kdm kang dedi mulyadi kdm king dedi mulyadi
2025-05-03,10:55:24,dawankhann,1132,saya orang minang (sumatra barat) tapi SELALU pantengin kegiatan kang DEDI MULYADI,saya orang minang sumatra barat tapi SELALU pantengin kegiatan kang DEDI MULYADI,saya orang minang sumatra barat tapi selalu pantengin kegiatan kang dedi mulyadi,saya orang minang sumatra barat tapi selalu pantengin kegiatan kang dedi mulyadi,"['saya', 'orang', 'minang', 'sumatra', 'barat', 'tapi', 'selalu', 'pantengin', 'kegiatan', 'kang', 'dedi', 'mulyadi']","['orang', 'minang', 'sumatra', 'barat', 'pantengin', 'kegiatan', 'kang', 'dedi', 'mulyadi']",orang mang sumatra barat pantengin giat kang dedi mulyadi
2025-05-03,11:17:03,ejuss95,43,kang DEDI MULYADI tida perna gagal memimping rakyat 👍👍,kang DEDI MULYADI tida perna gagal memimping rakyat ,kang dedi mulyadi tida perna gagal memimping rakyat ,kang dedi mulyadi tida pernah gagal memimping rakyat,"['kang', 'dedi', 'mulyadi', 'tida', 'pernah', 'gagal', 'memimping', 'rakyat']","['kang', 'dedi', 'mulyadi', 'tida', 'gagal', 'memimping', 'rakyat']",kang dedi mulyadi tida gagal pimping rakyat
2025-05-02,23:47:48,hana.anna54,1715,"Indonesia emas dimulai dari jawa barat insyaallah, kang dedi Gubernur aing",Indonesia emas dimulai dari jawa barat insyaallah kang dedi Gubernur aing,indonesia emas dimulai dari jawa barat insyaallah kang dedi gubernur aing,indonesia emas dimulai dari jawa barat insyaallah kang dedi gubernur aing,"['indonesia', 'emas', 'dimulai', 'dari', 'jawa', 'barat', 'insyaallah', 'kang', 'dedi', 'gubernur', 'aing']","['indonesia', 'emas', 'jawa', 'barat', 'insyaallah', 'kang', 'dedi', 'gubernur', 'aing']",indonesia emas jawa barat insyaallah kang dedi gubernur aing
2025-05-02,22:39:49,user3517270960572,595,sangat setuju karena untuk mendidik semoga presiden menerapkan wajib,sangat setuju karena untuk mendidik semoga presiden menerapkan wajib,sangat setuju karena untuk mendidik semoga presiden menerapkan wajib,sangat setuju karena untuk mendidik semoga presiden menerapkan wajib,"['sangat', 'setuju', 'karena', 'untuk', 'mendidik', 'semoga', 'presiden', 'menerapkan', 'wajib']","['setuju', 'mendidik', 'semoga', 'presiden', 'menerapkan', 'wajib']",tuju didik moga presiden terap wajib
2025-05-02,15:44:19,diniphoer66,1472,aku warga Jakarta tapi mantengin kegiatannya pak dedi🤣🤣🤣....,aku warga Jakarta tapi mantengin kegiatannya pak dedi,aku warga jakarta tapi mantengin kegiatannya pak dedi,aku warga jakarta tapi mantengin kegiatannya pak dedi,"['aku', 'warga', 'jakarta', 'tapi', 'mantengin', 'kegiatannya', 'pak', 'dedi']","['warga', 'jakarta', 'mantengin', 'kegiatannya', 'dedi']",warga jakarta mantengin giat dedi
2025-05-04,03:28:14,user4672950488540,98,mantap pak Dedi Mulyadi 👍👍👍💪💪💪🙏,mantap pak Dedi Mulyadi ,mantap pak dedi mulyadi ,mantap pak dedi mulyadi,"['mantap', 'pak', 'dedi', 'mulyadi']","['mantap', 'dedi', 'mulyadi']",mantap dedi mulyadi
2025-05-02,15:57:04,sarahl3588,1728,yang baju kuning itu emaknya udah muak sama anaknya 🤣🤣🤣,yang baju kuning itu emaknya udah muak sama anaknya ,yang baju kuning itu emaknya udah muak sama anaknya ,yang baju kuning itu emaknya sudah muak sama anaknya,"['yang', 'baju', 'kuning', 'itu', 'emaknya', 'sudah', 'muak', 'sama', 'anaknya']","['baju', 'kuning', 'emaknya', 'muak', 'anaknya']",baju kuning emaknya muak anak
2025-05-03,06:09:16,sitizubaidah753,25,Saya setuju bangat Program nta Paj Dedi Mulyadi..,Saya setuju bangat Program nta Paj Dedi Mulyadi,saya setuju bangat program nta paj dedi mulyadi,saya setuju banget program nta paj dedi mulyadi,"['saya', 'setuju', 'banget', 'program', 'nta', 'paj', 'dedi', 'mulyadi']","['setuju', 'banget', 'program', 'nta', 'paj', 'dedi', 'mulyadi']",tuju banget program nta paj dedi mulyadi
2025-05-03,03:59:26,shantybanondari,71,"""Setujuuu"" Bangettt Utk Kebaikan Anak"" Generasi Penerus Bangsa💪👍✊️",Setujuuu Bangettt Utk Kebaikan Anak Generasi Penerus Bangsa,setujuuu bangettt utk kebaikan anak generasi penerus bangsa,setuju banget untuk kebaikan anak generasi penerus bangsa,"['setuju', 'banget', 'untuk', 'kebaikan', 'anak', 'generasi', 'penerus', 'bangsa']","['setuju', 'banget', 'kebaikan', 'anak', 'generasi', 'penerus', 'bangsa']",tuju banget baik anak generasi terus bangsa
2025-05-06,15:07:06,ayahazk4,14,"gubernur Jabar sibuk ngurusin warga , gubernur lain sibuk ngurusin gubernur Jabar 😂",gubernur Jabar sibuk ngurusin warga  gubernur lain sibuk ngurusin gubernur Jabar ,gubernur jabar sibuk ngurusin warga  gubernur lain sibuk ngurusin gubernur jabar ,gubernur jabar sibuk mengurusi warga gubernur lain sibuk mengurusi gubernur jabar,"['gubernur', 'jabar', 'sibuk', 'mengurusi', 'warga', 'gubernur', 'lain', 'sibuk', 'mengurusi', 'gubernur', 'jabar']","['gubernur', 'jabar', 'sibuk', 'mengurusi', 'warga', 'gubernur', 'sibuk', 'mengurusi', 'gubernur', 'jabar']",gubernur jabar sibuk urus warga gubernur sibuk urus gubernur jabar
2025-05-02,22:23:50,annkrisila,189,Aku dulu sekolah di smk penerbangan jadi pendidikan semi militer..tapi bikin aku jadi kuat..dan mandiri,Aku dulu sekolah di smk penerbangan jadi pendidikan semi militertapi bikin aku jadi kuatdan mandiri,aku dulu sekolah di smk penerbangan jadi pendidikan semi militertapi bikin aku jadi kuatdan mandiri,aku dulu sekolah di smk penerbangan jadi pendidikan semi militertapi bikin aku jadi kuatdan mandiri,"['aku', 'dulu', 'sekolah', 'di', 'smk', 'penerbangan', 'jadi', 'pendidikan', 'semi', 'militertapi', 'bikin', 'aku', 'jadi', 'kuatdan', 'mandiri']","['sekolah', 'smk', 'penerbangan', 'pendidikan', 'semi', 'militertapi', 'bikin', 'kuatdan', 'mandiri']",sekolah smk terbang didik semi militertapi bikin kuatdan mandiri
2025-05-15,03:42:31,nursabani55,5,"KITA LIHAT NANTI, ANAK2 INI BAKAL TAMPIL DIACARA UPACARA KENEGARAAN 17 AGUSTUS 2025 BESOK.",KITA LIHAT NANTI ANAK INI BAKAL TAMPIL DIACARA UPACARA KENEGARAAN  AGUSTUS  BESOK,kita lihat nanti anak ini bakal tampil diacara upacara kenegaraan  agustus  besok,kita lihat nanti anak ini bakal tampil diacara upacara kenegaraan agustus besok,"['kita', 'lihat', 'nanti', 'anak', 'ini', 'bakal', 'tampil', 'diacara', 'upacara', 'kenegaraan', 'agustus', 'besok']","['lihat', 'anak', 'tampil', 'diacara', 'upacara', 'kenegaraan', 'agustus', 'besok']",lihat anak tampil acara upacara negara agustus besok
2025-05-03,12:55:22,triyulianiyulex,24,aku warga Lampung pantengin terus gebrakan Gub Jabar King Dedi Mulyadi,aku warga Lampung pantengin terus gebrakan Gub Jabar King Dedi Mulyadi,aku warga lampung pantengin terus gebrakan gub jabar king dedi mulyadi,aku warga lampung pantengin terus gebrakan gub jabar king dedi mulyadi,"['aku', 'warga', 'lampung', 'pantengin', 'terus', 'gebrakan', 'gub', 'jabar', 'king', 'dedi', 'mulyadi']","['warga', 'lampung', 'pantengin', 'gebrakan', 'gub', 'jabar', 'king', 'dedi', 'mulyadi']",warga lampung pantengin gebrak gub jabar king dedi mulyadi
2025-05-05,03:47:13,vnie90,35,anak saya udah lebih dulu disana bangg🔥🔥🔥 dan saya bangga dengan kebijakan KDM inii💪🏻👍🏻,anak saya udah lebih dulu disana bangg dan saya bangga dengan kebijakan KDM inii,anak saya udah lebih dulu disana bangg dan saya bangga dengan kebijakan kdm inii,anak saya sudah lebih dulu disana bang dan saya bangga dengan kebijakan kdm ini,"['anak', 'saya', 'sudah', 'lebih', 'dulu', 'disana', 'bang', 'dan', 'saya', 'bangga', 'dengan', 'kebijakan', 'kdm', 'ini']","['anak', 'disana', 'bang', 'bangga', 'kebijakan', 'kdm']",anak sana bang bangga bijak kdm
2025-05-02,16:07:21,liroy6142,234,Sedangkan Anak abah suka yg kemunduran 🗿🗿🗿,Sedangkan Anak abah suka yg kemunduran ,sedangkan anak abah suka yg kemunduran ,sedangkan anak abah suka yang kemunduran,"['sedangkan', 'anak', 'abah', 'suka', 'yang', 'kemunduran']","['anak', 'abah', 'suka', 'kemunduran']",anak abah suka mundur
2025-05-02,15:58:04,ayie.sae,385,"DPR,HAM,KPAI ga setuju Mulu...apa bisa ngurus nya😅",DPRHAMKPAI ga setuju Muluapa bisa ngurus nya,dprhamkpai ga setuju muluapa bisa ngurus nya,dprhamkpai tidak setuju muluapa bisa mengurus ya,"['dprhamkpai', 'tidak', 'setuju', 'muluapa', 'bisa', 'mengurus', 'ya']","['dprhamkpai', 'setuju', 'muluapa', 'mengurus', 'ya']",dprhamkpai tuju muluapa urus ya
2025-05-13,22:57:18,user10761770690920,17,"Setuju Banget.
Pengen Banget Anak Saya Ikutan.
Walaupun Engga Nakal
Supaya Disiplin.
Menyala Kang Dedi","Setuju Banget
Pengen Banget Anak Saya Ikutan
Walaupun Engga Nakal
Supaya Disiplin
Menyala Kang Dedi","setuju banget
pengen banget anak saya ikutan
walaupun engga nakal
supaya disiplin
menyala kang dedi",setuju banget pengin banget anak saya ikutan walaupun tidak nakal supaya disiplin menyala kang dedi,"['setuju', 'banget', 'pengin', 'banget', 'anak', 'saya', 'ikutan', 'walaupun', 'tidak', 'nakal', 'supaya', 'disiplin', 'menyala', 'kang', 'dedi']","['setuju', 'banget', 'pengin', 'banget', 'anak', 'ikutan', 'nakal', 'disiplin', 'menyala', 'kang', 'dedi']",tuju banget pengin banget anak ikut nakal disiplin nyala kang dedi
