tanggal,jam,uniqueId,diggCount,text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-05-07,20:45:19,pejagahatimu82,173,waduh bahaya ini program....ntar jadi banyak keturunan Ali Hamzah,waduh bahaya ini programntar jadi banyak keturunan Ali Hamzah,waduh bahaya ini programntar jadi banyak keturunan ali hamzah,waduh bahaya ini programntar jadi banyak keturunan ali hamzah,"['waduh', 'bahaya', 'ini', 'programntar', 'jadi', 'banyak', 'keturunan', 'ali', 'hamzah']","['bahaya', 'programntar', 'keturunan', 'ali', 'hamzah']",bahaya programntar turun ali hamzah
2025-05-02,16:00:52,accentier7,27,Akhirrnyaaaaa. Smoga kan ga dedi ke jakarta,Akhirrnyaaaaa Smoga kan ga dedi ke jakarta,akhirrnyaaaaa smoga kan ga dedi ke jakarta,akhirrnyaaaaa semoga kan tidak dedi ke jakarta,"['akhirrnyaaaaa', 'semoga', 'kan', 'tidak', 'dedi', 'ke', 'jakarta']","['akhirrnyaaaaa', 'semoga', 'dedi', 'jakarta']",akhirrnyaaaaa moga dedi jakarta
2025-05-02,23:31:17,ainy2114,7,Setuju bgt bang tp sayang kebanyakan pemerintah diotakbya cuma duit bagaimana caranya bs korupsi😂,Setuju bgt bang tp sayang kebanyakan pemerintah diotakbya cuma duit bagaimana caranya bs korupsi,setuju bgt bang tp sayang kebanyakan pemerintah diotakbya cuma duit bagaimana caranya bs korupsi,setuju banget abang tapi sayang kebanyakan pemerintah diotakbya cuma duit bagaimana caranya bisa korupsi,"['setuju', 'banget', 'abang', 'tapi', 'sayang', 'kebanyakan', 'pemerintah', 'diotakbya', 'cuma', 'duit', 'bagaimana', 'caranya', 'bisa', 'korupsi']","['setuju', 'banget', 'abang', 'sayang', 'kebanyakan', 'pemerintah', 'diotakbya', 'duit', 'korupsi']",tuju banget abang sayang banyak perintah diotakbya duit korupsi
2025-05-02,15:58:25,andre46221,7,setuju banget sih tapi kenapa baru ada sekarang,setuju banget sih tapi kenapa baru ada sekarang,setuju banget sih tapi kenapa baru ada sekarang,setuju banget sih tapi kenapa baru ada sekarang,"['setuju', 'banget', 'sih', 'tapi', 'kenapa', 'baru', 'ada', 'sekarang']","['setuju', 'banget', 'sih']",tuju banget sih
2025-05-11,03:03:33,kangcilokbumbukacang,6,"dpt makan enak, pendidikan agama.. dan ilmu disiplin.. kurang apa coba??",dpt makan enak pendidikan agama dan ilmu disiplin kurang apa coba,dpt makan enak pendidikan agama dan ilmu disiplin kurang apa coba,dapat makan enak pendidikan agama dan ilmu disiplin kurang apa coba,"['dapat', 'makan', 'enak', 'pendidikan', 'agama', 'dan', 'ilmu', 'disiplin', 'kurang', 'apa', 'coba']","['makan', 'enak', 'pendidikan', 'agama', 'ilmu', 'disiplin', 'coba']",makan enak didik agama ilmu disiplin coba
2025-04-28,16:36:14,dendjamboel,152,tegas....keras padat ga omon omon.....,tegaskeras padat ga omon omon,tegaskeras padat ga omon omon,tegaskeras padat tidak omon omon,"['tegaskeras', 'padat', 'tidak', 'omon', 'omon']","['tegaskeras', 'padat', 'omon', 'omon']",tegaskeras padat omon omon
2025-04-28,19:11:26,tesalonikasilaen10,146,"ini bagus sih mnrt ku. selain ngurangin populasi, juga ningkatin pendidikan masyarakat. kmrin kn bnyk yg teriak2 ga bisa kuliah krn minim ekonomi, nih udh ada solusi. kl masih di ributin. fix masalahnya ada di pola pikir sdm",ini bagus sih mnrt ku selain ngurangin populasi juga ningkatin pendidikan masyarakat kmrin kn bnyk yg teriak ga bisa kuliah krn minim ekonomi nih udh ada solusi kl masih di ributin fix masalahnya ada di pola pikir sdm,ini bagus sih mnrt ku selain ngurangin populasi juga ningkatin pendidikan masyarakat kmrin kn bnyk yg teriak ga bisa kuliah krn minim ekonomi nih udh ada solusi kl masih di ributin fix masalahnya ada di pola pikir sdm,ini bagus sih mnrt ku selain ngurangin populasi juga ningkatin pendidikan masyarakat kemarin kan banyak yang teriak tidak bisa kuliah karena minim ekonomi nih sudah ada solusi kalau masih di meributkan fix masalahnya ada di pola pikir sdm,"['ini', 'bagus', 'sih', 'mnrt', 'ku', 'selain', 'ngurangin', 'populasi', 'juga', 'ningkatin', 'pendidikan', 'masyarakat', 'kemarin', 'kan', 'banyak', 'yang', 'teriak', 'tidak', 'bisa', 'kuliah', 'karena', 'minim', 'ekonomi', 'nih', 'sudah', 'ada', 'solusi', 'kalau', 'masih', 'di', 'meributkan', 'fix', 'masalahnya', 'ada', 'di', 'pola', 'pikir', 'sdm']","['bagus', 'sih', 'mnrt', 'ku', 'ngurangin', 'populasi', 'ningkatin', 'pendidikan', 'masyarakat', 'kemarin', 'teriak', 'kuliah', 'minim', 'ekonomi', 'nih', 'solusi', 'meributkan', 'fix', 'pola', 'pikir', 'sdm']",bagus sih mnrt ku ngurangin populasi ningkatin didik masyarakat kemarin teriak kuliah minim ekonomi nih solusi ribut fix pola pikir sdm
2025-04-28,23:12:17,pm0308,139,"aku baru 26 tahun anak udah 2,dan sadar bgt ngurus anak bkan cma nguras tenaga waktu dan pikiran,tpi juga butuh uang,jdi aku milih anak 2 aja udah cukup pokonya ga mau punya anak lg,nyesel dulu pas sc anak kedua ga minta steril,jdi skarang lagi ngerayu suami buat kb vasektomi🤭",aku baru  tahun anak udah dan sadar bgt ngurus anak bkan cma nguras tenaga waktu dan pikirantpi juga butuh uangjdi aku milih anak  aja udah cukup pokonya ga mau punya anak lgnyesel dulu pas sc anak kedua ga minta steriljdi skarang lagi ngerayu suami buat kb vasektomi,aku baru  tahun anak udah dan sadar bgt ngurus anak bkan cma nguras tenaga waktu dan pikirantpi juga butuh uangjdi aku milih anak  aja udah cukup pokonya ga mau punya anak lgnyesel dulu pas sc anak kedua ga minta steriljdi skarang lagi ngerayu suami buat kb vasektomi,aku baru tahun anak sudah dan sadar banget mengurus anak bukan cuma nguras tenaga waktu dan pikirantpi juga butuh uangjdi aku memilih anak saja sudah cukup pokoknya tidak mau punya anak lgnyesel dulu pas sc anak kedua tidak meminta steriljdi sekarang lagi ngerayu suami buat kb vasektomi,"['aku', 'baru', 'tahun', 'anak', 'sudah', 'dan', 'sadar', 'banget', 'mengurus', 'anak', 'bukan', 'cuma', 'nguras', 'tenaga', 'waktu', 'dan', 'pikirantpi', 'juga', 'butuh', 'uangjdi', 'aku', 'memilih', 'anak', 'saja', 'sudah', 'cukup', 'pokoknya', 'tidak', 'mau', 'punya', 'anak', 'lgnyesel', 'dulu', 'pas', 'sc', 'anak', 'kedua', 'tidak', 'meminta', 'steriljdi', 'sekarang', 'lagi', 'ngerayu', 'suami', 'buat', 'kb', 'vasektomi']","['anak', 'sadar', 'banget', 'mengurus', 'anak', 'nguras', 'tenaga', 'pikirantpi', 'butuh', 'uangjdi', 'memilih', 'anak', 'pokoknya', 'anak', 'lgnyesel', 'pas', 'sc', 'anak', 'steriljdi', 'ngerayu', 'suami', 'kb', 'vasektomi']",anak sadar banget urus anak nguras tenaga pikirantpi butuh uangjdi pilih anak pokok anak lgnyesel pas sc anak steriljdi ngerayu suami kb vasektomi
2025-04-29,23:40:00,bdnnn02,137,gubernur jatim seburuk apasih gais?🗿,gubernur jatim seburuk apasih gais,gubernur jatim seburuk apasih gais,gubernur jatim seburuk apasih gais,"['gubernur', 'jatim', 'seburuk', 'apasih', 'gais']","['gubernur', 'jatim', 'seburuk', 'apasih', 'gais']",gubernur jatim buruk apasih gais
2025-04-28,23:35:49,tmasptra,114,manusia Jabar emang udah banyak banget+ anaknya juga banyakk😭🙏,manusia Jabar emang udah banyak banget anaknya juga banyakk,manusia jabar emang udah banyak banget anaknya juga banyakk,manusia jabar memang sudah banyak banget anaknya juga banyakk,"['manusia', 'jabar', 'memang', 'sudah', 'banyak', 'banget', 'anaknya', 'juga', 'banyakk']","['manusia', 'jabar', 'banget', 'anaknya', 'banyakk']",manusia jabar banget anak banyakk
